link,link_flow
(919,918),434.229
(919,920),906.715
(920,374),505.09
(920,417),1451.3
(920,738),371.298
(920,742),442.912
(920,919),283.38
(921,375),3383.12
(921,417),2325.11
(921,742),1079.16
(921,743),2157.09
(922,376),1517
(922,417),1661
(923,377),148
(923,918),189
(924,378),1413
(924,389),1280
(925,379),371
(925,416),484
(926,380),1569
(926,461),1903
(927,381),1728
(927,462),1555
(928,382),653
(928,441),724
(929,383),0
(929,517),0
(930,384),104
(930,905),157
(931,385),25
(931,514),22
(932,386),5468
(932,533),5837
